item_id,stockout_days,total_days,total_demand,units_short,fill_rate,avg_capital_tied_up,orders_placed,policy,item_name,category
I010,7,45,173,22,0.873,2197.7,3,actual_replay,Detergent 1kg,FMCG
I010,14,45,173,62,0.642,757.9,8,plain_rop,Detergent 1kg,FMCG
I010,2,45,173,10,0.942,1323.7,7,context_aware,Detergent 1kg,FMCG
I011,8,45,154,19,0.877,2256.2,3,seller,Shampoo 200ml,FMCG
I011,6,45,154,20,0.87,1960.4,3,actual_replay,Shampoo 200ml,FMCG
I011,12,45,154,51,0.669,686.9,9,plain_rop,Shampoo 200ml,FMCG
I011,7,45,154,21,0.864,1337.1,8,context_aware,Shampoo 200ml,FMCG
I012,8,45,292,67,0.771,2202.7,4,seller,Soap Pack of 4,FMCG
I012,18,45,292,121,0.586,1250.7,3,actual_replay,Soap Pack of 4,FMCG
I012,29,45,292,184,0.37,270.7,6,plain_rop,Soap Pack of 4,FMCG
I012,9,45,292,45,0.846,984.7,7,context_aware,Soap Pack of 4,FMCG
I013,11,45,184,46,0.75,1336.0,3,seller,Toothpaste 150g,FMCG
I013,20,45,184,76,0.587,789.3,3,actual_replay,Toothpaste 150g,FMCG
I013,23,45,184,84,0.543,389.3,6,plain_rop,Toothpaste 150g,FMCG
I013,9,45,184,39,0.788,808.0,6,context_aware,Toothpaste 150g,FMCG
I014,2,45,15,2,0.867,195.6,3,seller,Diyas & Candles Set,Festive
I014,6,45,15,7,0.533,136.9,2,actual_replay,Diyas & Candles Set,Festive
I014,1,45,15,1,0.933,309.3,6,plain_rop,Diyas & Candles Set,Festive
I014,1,45,15,1,0.933,176.0,5,context_aware,Diyas & Candles Set,Festive
I015,1,45,16,3,0.812,566.7,4,seller,Sweets Gift Box,Festive
I015,3,45,16,6,0.625,400.0,3,actual_replay,Sweets Gift Box,Festive
I015,2,45,16,4,0.75,1272.2,2,plain_rop,Sweets Gift Box,Festive
I015,2,45,16,2,0.875,811.1,5,context_aware,Sweets Gift Box,Festive
I016,9,45,200,194,0.03,110.7,2,seller,Rakhi Set,Festive
I016,9,45,200,194,0.03,110.7,2,actual_replay,Rakhi Set,Festive
I016,9,45,200,193,0.035,110.7,3,plain_rop,Rakhi Set,Festive
I016,9,45,200,188,0.06,120.0,4,context_aware,Rakhi Set,Festive
I017,0,45,2,0,1.0,123.6,0,seller,Holi Colors Pack,Festive
I017,0,45,2,0,1.0,123.6,0,actual_replay,Holi Colors Pack,Festive
I017,0,45,2,0,1.0,123.6,0,plain_rop,Holi Colors Pack,Festive
I017,0,45,2,0,1.0,123.6,0,context_aware,Holi Colors Pack,Festive
I018,0,45,5,0,1.0,700.0,2,seller,Gift Hamper Small,Festive
I018,0,45,5,0,1.0,720.0,2,actual_replay,Gift Hamper Small,Festive
I018,0,45,5,0,1.0,493.3,4,plain_rop,Gift Hamper Small,Festive
I018,0,45,5,0,1.0,833.3,4,context_aware,Gift Hamper Small,Festive
I019,3,45,26,4,0.846,508.0,3,seller,Steel Tiffin Box,Durables
I019,0,45,26,0,1.0,1080.0,2,actual_replay,Steel Tiffin Box,Durables
I019,3,45,26,4,0.846,632.0,5,plain_rop,Steel Tiffin Box,Durables
I019,2,45,26,2,0.923,608.0,5,context_aware,Steel Tiffin Box,Durables
I020,26,45,111,68,0.387,283.3,3,seller,Umbrella,Durables
I020,28,45,111,61,0.45,320.0,4,actual_replay,Umbrella,Durables
I020,16,45,111,38,0.658,1336.7,5,plain_rop,Umbrella,Durables
I020,24,45,111,59,0.468,460.0,5,context_aware,Umbrella,Durables
I021,37,45,139,109,0.216,186.7,4,seller,Raincoat,Durables
I021,37,45,139,109,0.216,143.1,4,actual_replay,Raincoat,Durables
I021,43,45,139,139,0.0,0.0,0,plain_rop,Raincoat,Durables
I021,31,45,139,98,0.295,416.9,5,context_aware,Raincoat,Durables
I022,6,45,20,8,0.6,200.0,3,seller,Plastic Storage Box,Durables
I022,3,45,20,4,0.8,346.7,2,actual_replay,Plastic Storage Box,Durables
I022,4,45,20,5,0.75,328.0,4,plain_rop,Plastic Storage Box,Durables
I022,5,45,20,6,0.7,258.7,4,context_aware,Plastic Storage Box,Durables
I023,5,45,32,9,0.719,267.6,3,seller,Mobile Cover,Accessories
I023,8,45,32,14,0.562,140.0,3,actual_replay,Mobile Cover,Accessories
I023,16,45,32,32,0.0,0.0,0,plain_rop,Mobile Cover,Accessories
I023,6,45,32,7,0.781,129.1,6,context_aware,Mobile Cover,Accessories
I024,0,45,7,0,1.0,201.1,1,seller,USB Cable,Accessories
I024,0,45,7,0,1.0,342.2,1,actual_replay,USB Cable,Accessories
I024,0,45,7,0,1.0,214.4,3,plain_rop,USB Cable,Accessories
I024,0,45,7,0,1.0,277.8,3,context_aware,USB Cable,Accessories
I025,1,45,10,1,0.9,592.0,2,seller,Earphones,Accessories
I025,1,45,10,1,0.9,740.0,2,actual_replay,Earphones,Accessories
I025,0,45,10,0,1.0,1224.0,3,plain_rop,Earphones,Accessories
I025,1,45,10,1,0.9,1052.0,4,context_aware,Earphones,Accessories
