date,item_id,units_sold,stockout_flag,promo_active,on_hand_start,on_hand_end,true_demand_uncensored
2025-11-26,I001,4,0,0,116,112,4
2025-11-27,I001,5,0,0,112,107,5
2025-11-28,I001,14,0,0,107,93,14
2025-11-29,I001,4,0,0,93,89,4
2025-11-30,I001,8,0,0,89,81,8
2025-12-01,I001,6,0,0,81,75,6
2025-12-02,I001,7,0,0,75,68,7
2025-12-03,I001,6,0,0,68,62,6
2025-12-04,I001,13,0,0,62,49,13
2025-12-05,I001,6,0,0,49,43,6
2025-12-06,I001,12,0,0,43,31,12
2025-12-07,I001,14,0,0,31,17,14
2025-12-08,I001,7,0,0,17,10,7
2025-12-09,I001,10,1,0,10,0,12
2025-12-10,I001,0,1,0,0,0,7
2025-12-11,I001,7,0,0,112,105,7
2025-12-12,I001,7,0,0,105,98,7
2025-12-13,I001,8,0,0,98,90,8
2025-12-14,I001,11,0,0,90,79,11
2025-12-15,I001,8,0,0,79,71,8
2025-12-16,I001,8,0,0,71,63,8
2025-12-17,I001,10,0,0,63,53,10
2025-12-18,I001,10,0,0,53,43,10
2025-12-19,I001,8,0,0,43,35,8
2025-12-20,I001,6,0,0,35,29,6
2025-12-21,I001,12,0,0,29,17,12
2025-12-22,I001,9,0,0,17,8,9
2025-12-23,I001,3,0,0,8,5,3
2025-12-24,I001,8,0,0,117,109,8
2025-12-25,I001,8,0,0,109,101,8
2025-12-26,I001,17,0,0,101,84,17
2025-12-27,I001,9,0,0,84,75,9
2025-12-28,I001,5,0,0,75,70,5
2025-12-29,I001,7,0,0,70,63,7
2025-12-30,I001,9,0,0,63,54,9
2025-12-31,I001,7,0,0,54,47,7
2026-01-01,I001,16,0,0,47,31,16
2026-01-02,I001,11,0,0,31,20,11
2026-01-03,I001,6,0,0,20,14,6
2026-01-04,I001,9,0,0,126,117,9
2026-01-05,I001,7,0,0,117,110,7
2026-01-06,I001,12,0,0,110,98,12
2026-01-07,I001,8,0,0,98,90,8
2026-01-08,I001,8,0,0,90,82,8
2026-01-09,I001,2,0,0,82,80,2
2026-01-10,I001,9,0,0,80,71,9
2026-01-11,I001,17,0,0,71,54,17
2026-01-12,I001,15,0,0,54,39,15
2026-01-13,I001,14,0,0,39,25,14
2026-01-14,I001,10,0,0,25,15,10
2026-01-15,I001,9,0,0,127,118,9
2026-01-16,I001,8,0,0,118,110,8
2026-01-17,I001,7,0,0,110,103,7
2026-01-18,I001,13,0,0,103,90,13
2026-01-19,I001,6,0,0,90,84,6
2026-01-20,I001,10,0,0,84,74,10
2026-01-21,I001,3,0,0,74,71,3
2026-01-22,I001,8,0,0,71,63,8
2026-01-23,I001,6,0,0,63,57,6
2026-01-24,I001,9,0,0,57,48,9
2026-01-25,I001,6,0,0,48,42,6
2026-01-26,I001,6,0,0,42,36,6
2026-01-27,I001,8,0,0,36,28,8
2026-01-28,I001,12,0,0,28,16,12
2026-01-29,I001,7,0,0,16,9,7
2026-01-30,I001,13,0,0,121,108,13
2026-01-31,I001,9,0,0,108,99,9
2026-02-01,I001,12,0,0,99,87,12
2026-02-02,I001,5,0,0,87,82,5
2026-02-03,I001,4,0,0,82,78,4
2026-02-04,I001,11,0,0,78,67,11
2026-02-05,I001,10,0,1,67,57,10
2026-02-06,I001,16,0,1,57,41,16
2026-02-07,I001,15,0,1,41,26,15
2026-02-08,I001,8,0,0,26,18,8
2026-02-09,I001,7,0,0,18,11,7
2026-02-10,I001,6,0,0,11,5,6
2026-02-11,I001,5,1,0,5,0,10
2026-02-12,I001,0,1,0,0,0,7
2026-02-13,I001,9,0,0,112,103,9
2026-02-14,I001,10,0,0,103,93,10
2026-02-15,I001,12,0,0,93,81,12
2026-02-16,I001,11,0,0,81,70,11
2026-02-17,I001,6,0,0,70,64,6
2026-02-18,I001,7,0,0,64,57,7
2026-02-19,I001,7,0,0,57,50,7
2026-02-20,I001,12,0,0,50,38,12
2026-02-21,I001,8,0,0,38,30,8
2026-02-22,I001,8,0,0,30,22,8
2026-02-23,I001,9,0,0,22,13,9
2026-02-24,I001,6,0,0,125,119,6
2026-02-25,I001,16,0,0,119,103,16
2026-02-26,I001,8,0,0,103,95,8
2026-02-27,I001,10,0,0,95,85,10
2026-02-28,I001,6,0,0,85,79,6
2026-03-01,I001,11,0,0,79,68,11
2026-03-02,I001,7,0,0,68,61,7
2026-03-03,I001,8,0,0,61,53,8
2026-03-04,I001,8,0,0,53,45,8
2026-03-05,I001,13,0,0,45,32,13
2026-03-06,I001,9,0,0,32,23,9
2026-03-07,I001,17,0,0,23,6,17
2026-03-08,I001,6,1,0,6,0,10
2026-03-09,I001,0,1,0,0,0,10
2026-03-10,I001,3,0,0,112,109,3
2026-03-11,I001,7,0,0,109,102,7
2026-03-12,I001,13,0,0,102,89,13
2026-03-13,I001,10,0,0,89,79,10
2026-03-14,I001,9,0,0,79,70,9
2026-03-15,I001,10,0,0,70,60,10
2026-03-16,I001,9,0,0,60,51,9
2026-03-17,I001,10,0,0,51,41,10
2026-03-18,I001,14,0,0,41,27,14
2026-03-19,I001,12,0,0,27,15,12
2026-03-20,I001,8,0,0,15,7,8
2026-03-21,I001,9,0,0,119,110,9
2026-03-22,I001,7,0,0,110,103,7
2026-03-23,I001,6,0,0,103,97,6
2026-03-24,I001,13,0,0,97,84,13
2026-03-25,I001,7,0,0,84,77,7
2026-03-26,I001,6,0,0,77,71,6
2026-03-27,I001,11,0,0,71,60,11
2026-03-28,I001,8,0,0,60,52,8
2026-03-29,I001,11,0,0,52,41,11
2026-03-30,I001,9,0,0,41,32,9
2026-03-31,I001,7,0,0,32,25,7
2026-04-01,I001,11,0,0,25,14,11
2026-04-02,I001,8,0,0,126,118,8
2026-04-03,I001,8,0,0,118,110,8
2026-04-04,I001,8,0,0,110,102,8
2026-04-05,I001,12,0,0,102,90,12
2026-04-06,I001,16,0,0,90,74,16
2026-04-07,I001,9,0,0,74,65,9
2026-04-08,I001,6,0,0,65,59,6
2026-04-09,I001,4,0,0,59,55,4
2026-04-10,I001,7,0,0,55,48,7
2026-04-11,I001,15,0,0,48,33,15
2026-04-12,I001,10,0,0,33,23,10
2026-04-13,I001,3,0,0,23,20,3
2026-04-14,I001,10,0,0,20,10,10
2026-04-15,I001,8,0,0,122,114,8
2026-04-16,I001,9,0,0,114,105,9
2026-04-17,I001,11,0,0,105,94,11
2026-04-18,I001,9,0,0,94,85,9
2026-04-19,I001,14,0,0,85,71,14
2026-04-20,I001,6,0,0,71,65,6
2026-04-21,I001,10,0,0,65,55,10
2026-04-22,I001,4,0,0,55,51,4
2026-04-23,I001,6,0,0,51,45,6
2026-04-24,I001,5,0,0,45,40,5
2026-04-25,I001,14,0,0,40,26,14
2026-04-26,I001,6,0,0,26,20,6
2026-04-27,I001,10,0,0,20,10,10
2026-04-28,I001,5,0,0,10,5,5
2026-04-29,I001,5,1,0,5,0,7
2026-04-30,I001,10,0,0,112,102,10
2026-05-01,I001,8,0,0,102,94,8
2026-05-02,I001,9,0,0,94,85,9
2026-05-03,I001,11,0,0,85,74,11
2026-05-04,I001,5,0,0,74,69,5
2026-05-05,I001,11,0,0,69,58,11
2026-05-06,I001,4,0,0,58,54,4
2026-05-07,I001,4,0,0,54,50,4
2026-05-08,I001,7,0,0,50,43,7
2026-05-09,I001,7,0,0,43,36,7
2026-05-10,I001,17,0,0,36,19,17
2026-05-11,I001,7,0,0,19,12,7
2026-05-12,I001,5,0,0,12,7,5
2026-05-13,I001,7,1,0,7,0,9
2026-05-14,I001,11,0,0,112,101,11
2026-05-15,I001,10,0,0,101,91,10
2026-05-16,I001,10,0,0,91,81,10
2026-05-17,I001,10,0,0,81,71,10
2026-05-18,I001,10,0,0,71,61,10
2026-05-19,I001,7,0,0,61,54,7
2026-05-20,I001,8,0,0,54,46,8
2026-05-21,I001,6,0,0,46,40,6
2026-05-22,I001,13,0,0,40,27,13
2026-05-23,I001,10,0,0,139,129,10
2026-05-24,I001,14,0,0,129,115,14
2026-05-25,I001,9,0,0,115,106,9
2026-05-26,I001,9,0,0,106,97,9
2026-05-27,I001,2,0,0,97,95,2
2026-05-28,I001,12,0,0,95,83,12
2026-05-29,I001,8,0,0,83,75,8
2026-05-30,I001,4,0,0,75,71,4
2026-05-31,I001,8,0,0,71,63,8
2026-06-01,I001,8,0,0,63,55,8
2026-06-02,I001,7,0,0,55,48,7
2026-06-03,I001,3,0,0,48,45,3
2026-06-04,I001,9,0,0,45,36,9
2026-06-05,I001,20,0,1,36,16,20
2026-06-06,I001,16,1,1,16,0,18
2026-06-07,I001,0,1,1,0,0,14
2026-06-08,I001,0,1,1,0,0,13
2026-06-09,I001,7,0,0,112,105,7
2026-06-10,I001,4,0,0,105,101,4
2026-06-11,I001,5,0,0,101,96,5
2026-06-12,I001,7,0,0,96,89,7
2026-06-13,I001,6,0,0,89,83,6
2026-06-14,I001,15,0,0,83,68,15
2026-06-15,I001,5,0,0,68,63,5
2026-06-16,I001,11,0,0,63,52,11
2026-06-17,I001,12,0,0,52,40,12
2026-06-18,I001,11,0,0,40,29,11
2026-06-19,I001,14,0,0,29,15,14
2026-06-20,I001,9,0,0,127,118,9
2026-06-21,I001,7,0,0,118,111,7
2026-06-22,I001,9,0,0,111,102,9
2026-06-23,I001,10,0,0,102,92,10
2026-06-24,I001,8,0,0,92,84,8
2026-06-25,I001,6,0,0,84,78,6
2026-06-26,I001,12,0,0,78,66,12
2026-06-27,I001,18,0,0,66,48,18
2026-06-28,I001,7,0,0,48,41,7
2026-06-29,I001,10,0,0,41,31,10
2026-06-30,I001,4,0,0,31,27,4
2026-07-01,I001,7,0,0,27,20,7
2026-07-02,I001,10,0,0,132,122,10
2026-07-03,I001,5,0,0,122,117,5
2026-07-04,I001,10,0,0,117,107,10
2026-07-05,I001,9,0,0,107,98,9
2026-07-06,I001,8,0,0,98,90,8
2026-07-07,I001,10,0,0,90,80,10
2026-07-08,I001,13,0,0,80,67,13
2026-07-09,I001,13,0,0,67,54,13
2026-07-10,I001,16,0,0,54,38,16
2026-07-11,I001,9,0,0,38,29,9
2026-07-12,I001,12,0,0,29,17,12
2026-07-13,I001,11,0,0,17,6,11
2026-07-14,I001,9,0,0,118,109,9
2026-07-15,I001,12,0,0,109,97,12
2026-07-16,I001,6,0,0,97,91,6
2026-07-17,I001,11,0,0,91,80,11
2026-07-18,I001,8,0,0,80,72,8
2026-07-19,I001,9,0,0,72,63,9
2026-07-20,I001,6,0,0,63,57,6
2026-07-21,I001,12,0,0,57,45,12
2026-07-22,I001,10,0,0,45,35,10
2026-07-23,I001,7,0,0,35,28,7
2026-07-24,I001,14,0,0,28,14,14
2026-07-25,I001,9,0,0,14,5,9
2026-07-26,I001,5,1,0,5,0,9
2026-07-27,I001,4,0,0,112,108,4
2026-07-28,I001,6,0,0,108,102,6
2026-07-29,I001,9,0,0,102,93,9
2026-07-30,I001,8,0,0,93,85,8
2026-07-31,I001,8,0,0,85,77,8
2026-08-01,I001,9,0,0,77,68,9
2026-08-02,I001,12,0,0,68,56,12
2026-08-03,I001,7,0,0,56,49,7
2026-08-04,I001,3,0,0,49,46,3
2026-08-05,I001,3,0,0,46,43,3
2026-08-06,I001,6,0,0,43,37,6
2026-08-07,I001,8,0,0,37,29,8
2026-08-08,I001,21,0,0,29,8,21
2026-08-09,I001,8,1,0,8,0,13
2026-08-10,I001,0,1,0,0,0,6
2026-08-11,I001,5,0,0,112,107,5
2026-08-12,I001,12,0,0,107,95,12
2026-08-13,I001,5,0,0,95,90,5
2026-08-14,I001,12,0,0,90,78,12
2026-08-15,I001,20,0,0,78,58,20
2026-08-16,I001,9,0,0,58,49,9
2026-08-17,I001,11,0,0,49,38,11
2026-08-18,I001,7,0,0,38,31,7
2026-08-19,I001,9,0,0,31,22,9
2026-08-20,I001,6,0,0,22,16,6
2026-08-21,I001,11,0,0,128,117,11
2026-08-22,I001,10,0,0,117,107,10
2026-08-23,I001,8,0,0,107,99,8
2026-08-24,I001,5,0,0,99,94,5
2026-08-25,I001,12,0,0,94,82,12
2026-08-26,I001,9,0,0,82,73,9
2026-08-27,I001,8,0,0,73,65,8
2026-08-28,I001,14,0,0,65,51,14
2026-08-29,I001,7,0,0,51,44,7
2026-08-30,I001,10,0,0,44,34,10
2026-08-31,I001,11,0,0,34,23,11
2025-09-01,I002,8,0,0,84,76,8
2025-09-02,I002,5,0,0,76,71,5
2025-09-03,I002,7,0,0,71,64,7
2025-09-04,I002,7,0,0,64,57,7
2025-09-05,I002,8,0,0,57,49,8
2025-09-06,I002,5,0,0,49,44,5
2025-09-07,I002,9,0,0,44,35,9
2025-09-08,I002,8,0,0,35,27,8
2025-09-09,I002,3,0,0,27,24,3
2025-09-10,I002,4,0,0,24,20,4
2025-09-11,I002,5,0,0,20,15,5
2025-09-12,I002,6,0,0,113,107,6
2025-09-13,I002,8,0,0,107,99,8
2025-09-14,I002,3,0,0,99,96,3
2025-09-15,I002,6,0,0,96,90,6
2025-09-16,I002,7,0,0,90,83,7
2025-09-17,I002,6,0,0,83,77,6
2025-09-18,I002,4,0,0,77,73,4
2025-09-19,I002,9,0,0,73,64,9
2025-09-20,I002,8,0,0,64,56,8
2025-09-21,I002,5,0,0,56,51,5
2025-09-22,I002,6,0,0,51,45,6
2025-09-23,I002,10,0,0,45,35,10
2025-09-24,I002,2,0,0,35,33,2
2025-09-25,I002,6,0,0,33,27,6
2025-09-26,I002,10,0,0,125,115,10
2025-09-27,I002,5,0,0,115,110,5
2025-09-28,I002,7,0,0,110,103,7
2025-09-29,I002,4,0,0,103,99,4
2025-09-30,I002,11,0,0,99,88,11
2025-10-01,I002,7,0,0,88,81,7
2025-10-02,I002,14,0,0,81,67,14
2025-10-03,I002,7,0,0,67,60,7
2025-10-04,I002,15,0,0,60,45,15
2025-10-05,I002,13,0,0,45,32,13
2025-10-06,I002,9,0,0,32,23,9
2025-10-07,I002,3,0,0,23,20,3
2025-10-08,I002,9,0,0,20,11,9
2025-10-09,I002,6,0,0,11,5,6
2025-10-10,I002,17,0,0,103,86,17
2025-10-11,I002,14,0,0,86,72,14
2025-10-12,I002,19,0,0,72,53,19
2025-10-13,I002,8,0,0,53,45,8
2025-10-14,I002,10,0,0,45,35,10
2025-10-15,I002,21,0,0,35,14,21
2025-10-16,I002,5,0,0,14,9,5
2025-10-17,I002,15,0,0,107,92,15
2025-10-18,I002,14,0,0,92,78,14
2025-10-19,I002,13,0,0,78,65,13
2025-10-20,I002,11,0,0,65,54,11
2025-10-21,I002,12,0,0,54,42,12
2025-10-22,I002,4,0,0,42,38,4
2025-10-23,I002,7,0,0,38,31,7
2025-10-24,I002,9,0,0,31,22,9
2025-10-25,I002,5,0,0,22,17,5
2025-10-26,I002,7,0,0,17,10,7
2025-10-27,I002,3,0,0,108,105,3
2025-10-28,I002,5,0,0,105,100,5
2025-10-29,I002,4,0,0,100,96,4
2025-10-30,I002,10,0,0,96,86,10
2025-10-31,I002,16,0,0,86,70,16
2025-11-01,I002,10,0,0,70,60,10
2025-11-02,I002,17,0,0,60,43,17
2025-11-03,I002,6,0,0,43,37,6
2025-11-04,I002,3,0,0,37,34,3
2025-11-05,I002,11,0,1,34,23,11
2025-11-06,I002,9,0,1,23,14,9
2025-11-07,I002,14,1,1,14,0,17
2025-11-08,I002,11,0,1,98,87,11
2025-11-09,I002,10,0,1,87,77,10
2025-11-10,I002,13,0,0,77,64,13
2025-11-11,I002,7,0,0,64,57,7
2025-11-12,I002,10,0,0,57,47,10
2025-11-13,I002,5,0,0,47,42,5
2025-11-14,I002,10,0,0,42,32,10
2025-11-15,I002,8,0,0,32,24,8
2025-11-16,I002,11,0,0,24,13,11
2025-11-17,I002,8,0,0,111,103,8
2025-11-18,I002,5,0,0,103,98,5
2025-11-19,I002,5,0,0,98,93,5
2025-11-20,I002,5,0,0,93,88,5
2025-11-21,I002,5,0,0,88,83,5
2025-11-22,I002,8,0,0,83,75,8
2025-11-23,I002,10,0,0,75,65,10
2025-11-24,I002,5,0,0,65,60,5
2025-11-25,I002,6,0,0,60,54,6
2025-11-26,I002,5,0,0,54,49,5
2025-11-27,I002,6,0,0,49,43,6
2025-11-28,I002,21,0,0,43,22,21
2025-11-29,I002,13,0,0,22,9,13
2025-11-30,I002,8,0,0,9,1,8
2025-12-01,I002,1,1,0,1,0,8
2025-12-02,I002,4,0,0,98,94,4
2025-12-03,I002,12,0,0,94,82,12
2025-12-04,I002,9,0,0,82,73,9
2025-12-05,I002,5,0,0,73,68,5
2025-12-06,I002,7,0,0,68,61,7
2025-12-07,I002,3,0,0,61,58,3
2025-12-08,I002,8,0,0,58,50,8
2025-12-09,I002,8,0,0,50,42,8
2025-12-10,I002,9,0,0,42,33,9
2025-12-11,I002,5,0,0,33,28,5
2025-12-12,I002,12,0,0,28,16,12
2025-12-13,I002,8,0,0,16,8,8
2025-12-14,I002,9,0,0,106,97,9
2025-12-15,I002,4,0,0,97,93,4
2025-12-16,I002,8,0,0,93,85,8
2025-12-17,I002,10,0,0,85,75,10
2025-12-18,I002,6,0,0,75,69,6
2025-12-19,I002,13,0,0,69,56,13
2025-12-20,I002,10,0,0,56,46,10
2025-12-21,I002,7,0,0,46,39,7
2025-12-22,I002,4,0,0,39,35,4
2025-12-23,I002,5,0,0,35,30,5
2025-12-24,I002,10,0,0,30,20,10
2025-12-25,I002,6,0,0,20,14,6
2025-12-26,I002,7,0,0,112,105,7
2025-12-27,I002,3,0,0,105,102,3
2025-12-28,I002,7,0,0,102,95,7
2025-12-29,I002,8,0,0,95,87,8
2025-12-30,I002,2,0,0,87,85,2
2025-12-31,I002,7,0,0,85,78,7
2026-01-01,I002,5,0,0,78,73,5
2026-01-02,I002,6,0,0,73,67,6
2026-01-03,I002,14,0,0,67,53,14
2026-01-04,I002,8,0,0,53,45,8
2026-01-05,I002,9,0,0,45,36,9
2026-01-06,I002,11,0,0,36,25,11
2026-01-07,I002,8,0,0,25,17,8
2026-01-08,I002,4,0,0,17,13,4
2026-01-09,I002,9,0,0,13,4,9
2026-01-10,I002,7,0,0,102,95,7
2026-01-11,I002,13,0,0,95,82,13
2026-01-12,I002,16,0,0,82,66,16
2026-01-13,I002,17,0,0,66,49,17
2026-01-14,I002,8,0,0,49,41,8
2026-01-15,I002,7,0,0,41,34,7
2026-01-16,I002,6,0,0,34,28,6
2026-01-17,I002,8,0,0,28,20,8
2026-01-18,I002,15,0,0,20,5,15
2026-01-19,I002,5,0,0,5,0,5
2026-01-20,I002,7,0,0,98,91,7
2026-01-21,I002,5,0,0,91,86,5
2026-01-22,I002,6,0,0,86,80,6
2026-01-23,I002,7,0,0,80,73,7
2026-01-24,I002,5,0,0,73,68,5
2026-01-25,I002,7,0,0,68,61,7
2026-01-26,I002,7,0,0,61,54,7
2026-01-27,I002,7,0,0,54,47,7
2026-01-28,I002,5,0,0,47,42,5
2026-01-29,I002,5,0,0,42,37,5
2026-01-30,I002,15,0,0,37,22,15
2026-01-31,I002,6,0,0,22,16,6
2026-02-01,I002,7,0,0,16,9,7
2026-02-02,I002,5,0,0,9,4,5
2026-02-03,I002,4,1,0,4,0,7
2026-02-04,I002,0,1,0,0,0,9
2026-02-05,I002,9,0,0,98,89,9
2026-02-06,I002,7,0,0,89,82,7
2026-02-07,I002,4,0,0,82,78,4
2026-02-08,I002,10,0,0,78,68,10
2026-02-09,I002,4,0,0,68,64,4
2026-02-10,I002,11,0,0,64,53,11
2026-02-11,I002,5,0,0,53,48,5
2026-02-12,I002,7,0,0,48,41,7
2026-02-13,I002,10,0,0,41,31,10
2026-02-14,I002,11,0,0,31,20,11
2026-02-15,I002,8,0,0,20,12,8
2026-02-16,I002,5,0,0,12,7,5
2026-02-17,I002,2,0,0,7,5,2
2026-02-18,I002,5,0,0,103,98,5
2026-02-19,I002,3,0,0,98,95,3
2026-02-20,I002,9,0,0,95,86,9
2026-02-21,I002,8,0,0,86,78,8
2026-02-22,I002,8,0,0,78,70,8
2026-02-23,I002,7,0,0,70,63,7
2026-02-24,I002,6,0,0,63,57,6
2026-02-25,I002,11,0,0,57,46,11
2026-02-26,I002,7,0,0,46,39,7
2026-02-27,I002,7,0,0,39,32,7
2026-02-28,I002,9,0,0,32,23,9
2026-03-01,I002,7,0,0,23,16,7
2026-03-02,I002,9,0,0,16,7,9
2026-03-03,I002,8,0,0,105,97,8
2026-03-04,I002,2,0,0,97,95,2
2026-03-05,I002,8,0,0,95,87,8
2026-03-06,I002,3,0,0,87,84,3
2026-03-07,I002,9,0,0,84,75,9
2026-03-08,I002,14,0,1,75,61,14
2026-03-09,I002,12,0,1,61,49,12
2026-03-10,I002,15,0,1,49,34,15
2026-03-11,I002,9,0,1,34,25,9
2026-03-12,I002,5,0,1,25,20,5
2026-03-13,I002,14,0,0,118,104,14
2026-03-14,I002,13,0,0,104,91,13
2026-03-15,I002,8,0,0,91,83,8
2026-03-16,I002,10,0,0,83,73,10
2026-03-17,I002,5,0,0,73,68,5
2026-03-18,I002,5,0,0,68,63,5
2026-03-19,I002,1,0,0,63,62,1
2026-03-20,I002,7,0,0,62,55,7
2026-03-21,I002,9,0,0,55,46,9
2026-03-22,I002,10,0,0,46,36,10
2026-03-23,I002,4,0,0,36,32,4
2026-03-24,I002,3,0,0,32,29,3
2026-03-25,I002,8,0,0,29,21,8
2026-03-26,I002,12,0,0,21,9,12
2026-03-27,I002,5,0,0,9,4,5
2026-03-28,I002,10,0,0,102,92,10
2026-03-29,I002,6,0,0,92,86,6
2026-03-30,I002,10,0,0,86,76,10
2026-03-31,I002,3,0,0,76,73,3
2026-04-01,I002,4,0,0,73,69,4
2026-04-02,I002,7,0,0,69,62,7
2026-04-03,I002,11,0,0,62,51,11
2026-04-04,I002,6,0,0,51,45,6
2026-04-05,I002,2,0,0,45,43,2
2026-04-06,I002,10,0,0,43,33,10
2026-04-07,I002,4,0,0,33,29,4
2026-04-08,I002,7,0,0,29,22,7
2026-04-09,I002,6,0,0,22,16,6
2026-04-10,I002,8,0,0,16,8,8
2026-04-11,I002,10,0,0,106,96,10
2026-04-12,I002,10,0,0,96,86,10
2026-04-13,I002,6,0,0,86,80,6
2026-04-14,I002,5,0,0,80,75,5
2026-04-15,I002,7,0,0,75,68,7
2026-04-16,I002,7,0,0,68,61,7
2026-04-17,I002,9,0,0,61,52,9
2026-04-18,I002,10,0,0,52,42,10
2026-04-19,I002,8,0,0,42,34,8
2026-04-20,I002,10,0,0,34,24,10
2026-04-21,I002,6,0,0,24,18,6
2026-04-22,I002,10,0,0,18,8,10
2026-04-23,I002,8,1,0,8,0,9
2026-04-24,I002,10,0,0,98,88,10
2026-04-25,I002,11,0,0,88,77,11
2026-04-26,I002,6,0,0,77,71,6
2026-04-27,I002,5,0,0,71,66,5
2026-04-28,I002,9,0,0,66,57,9
2026-04-29,I002,5,0,0,57,52,5
2026-04-30,I002,2,0,0,52,50,2
2026-05-01,I002,9,0,0,50,41,9
2026-05-02,I002,9,0,0,41,32,9
2026-05-03,I002,10,0,0,32,22,10
2026-05-04,I002,7,0,0,22,15,7
2026-05-05,I002,2,0,0,113,111,2
2026-05-06,I002,8,0,0,111,103,8
2026-05-07,I002,8,0,0,103,95,8
2026-05-08,I002,8,0,0,95,87,8
2026-05-09,I002,8,0,0,87,79,8
2026-05-10,I002,8,0,0,79,71,8
2026-05-11,I002,5,0,0,71,66,5
2026-05-12,I002,11,0,0,66,55,11
2026-05-13,I002,7,0,0,55,48,7
2026-05-14,I002,8,0,0,48,40,8
2026-05-15,I002,18,0,1,40,22,18
2026-05-16,I002,18,0,1,22,4,18
2026-05-17,I002,4,1,1,4,0,14
2026-05-18,I002,0,1,1,0,0,8
2026-05-19,I002,0,1,1,0,0,9
2026-05-20,I002,11,0,0,98,87,11
2026-05-21,I002,4,0,0,87,83,4
2026-05-22,I002,4,0,0,83,79,4
2026-05-23,I002,12,0,0,79,67,12
2026-05-24,I002,3,0,0,67,64,3
2026-05-25,I002,4,0,0,64,60,4
