po_id,item_id,supplier_id,date_ordered,date_expected,qty_ordered,lead_time_actual_days
PO00102,I004,S1,2026-02-28,2026-03-04,126,4
PO00103,I004,S1,2026-03-12,2026-03-16,126,4
PO00104,I004,S1,2026-03-27,2026-03-31,126,4
PO00105,I004,S1,2026-04-09,2026-04-13,126,4
PO00106,I004,S1,2026-04-24,2026-04-28,126,4
PO00107,I004,S1,2026-05-06,2026-05-11,126,5
PO00108,I004,S1,2026-05-19,2026-05-23,126,4
PO00109,I004,S1,2026-05-31,2026-06-04,126,4
PO00110,I004,S1,2026-06-14,2026-06-18,126,4
PO00111,I004,S1,2026-06-26,2026-07-01,126,5
PO00112,I004,S1,2026-07-08,2026-07-13,126,5
PO00113,I004,S1,2026-07-20,2026-07-25,126,5
PO00114,I004,S1,2026-08-01,2026-08-04,126,3
PO00115,I004,S1,2026-08-13,2026-08-17,126,4
PO00116,I004,S1,2026-08-24,2026-08-28,126,4
PO00117,I005,S2,2025-09-07,2025-09-13,98,6
PO00118,I005,S2,2025-09-22,2025-09-29,98,7
PO00119,I005,S2,2025-10-05,2025-10-13,98,8
PO00120,I005,S2,2025-10-18,2025-10-23,98,5
PO00121,I005,S2,2025-10-28,2025-11-05,98,8
PO00122,I005,S2,2025-11-14,2025-11-18,98,4
PO00123,I005,S2,2025-11-27,2025-12-04,98,7
PO00124,I005,S2,2025-12-11,2025-12-16,98,5
PO00125,I005,S2,2025-12-25,2025-12-30,98,5
PO00126,I005,S2,2026-01-07,2026-01-13,98,6
PO00127,I005,S2,2026-01-20,2026-01-26,98,6
PO00128,I005,S2,2026-02-03,2026-02-06,98,3
PO00129,I005,S2,2026-02-16,2026-02-23,98,7
PO00130,I005,S2,2026-03-03,2026-03-10,98,7
PO00131,I005,S2,2026-03-17,2026-03-23,98,6
PO00132,I005,S2,2026-03-31,2026-04-06,98,6
PO00133,I005,S2,2026-04-14,2026-04-20,98,6
PO00134,I005,S2,2026-04-26,2026-04-30,98,4
PO00135,I005,S2,2026-05-10,2026-05-14,98,4
PO00136,I005,S2,2026-05-24,2026-05-31,98,7
PO00137,I005,S2,2026-06-08,2026-06-15,98,7
PO00138,I005,S2,2026-06-24,2026-07-01,98,7
PO00139,I005,S2,2026-07-09,2026-07-15,98,6
PO00140,I005,S2,2026-07-22,2026-07-29,98,7
PO00141,I005,S2,2026-08-04,2026-08-11,98,7
PO00142,I005,S2,2026-08-16,2026-08-21,98,5
PO00143,I005,S2,2026-08-26,2026-09-01,98,6
PO00144,I006,S1,2025-09-07,2025-09-11,140,4
PO00145,I006,S1,2025-09-20,2025-09-24,140,4
PO00146,I006,S1,2025-10-01,2025-10-06,140,5
PO00147,I006,S1,2025-10-12,2025-10-17,140,5
PO00148,I006,S1,2025-10-22,2025-10-24,140,2
PO00149,I006,S1,2025-11-05,2025-11-09,140,4
PO00150,I006,S1,2025-11-19,2025-11-23,140,4
PO00151,I006,S1,2025-12-01,2025-12-06,140,5
PO00152,I006,S1,2025-12-14,2025-12-17,140,3
PO00153,I006,S1,2025-12-27,2025-12-29,140,2
PO00154,I006,S1,2026-01-09,2026-01-14,140,5
PO00155,I006,S1,2026-01-21,2026-01-26,140,5
PO00156,I006,S1,2026-02-05,2026-02-08,140,3
PO00157,I006,S1,2026-02-19,2026-02-23,140,4
PO00158,I006,S1,2026-03-05,2026-03-10,140,5
PO00159,I006,S1,2026-03-18,2026-03-21,140,3
PO00160,I006,S1,2026-03-28,2026-04-01,140,4
PO00161,I006,S1,2026-04-10,2026-04-14,140,4
PO00162,I006,S1,2026-04-23,2026-04-26,140,3
PO00163,I006,S1,2026-05-05,2026-05-09,140,4
PO00164,I006,S1,2026-05-16,2026-05-19,140,3
PO00165,I006,S1,2026-05-31,2026-06-04,140,4
PO00166,I006,S1,2026-06-13,2026-06-16,140,3
PO00167,I006,S1,2026-06-26,2026-06-30,140,4
PO00168,I006,S1,2026-07-10,2026-07-15,140,5
PO00169,I006,S1,2026-07-24,2026-07-29,140,5
PO00170,I006,S1,2026-08-07,2026-08-13,140,6
PO00171,I006,S1,2026-08-20,2026-08-24,140,4
PO00172,I007,S2,2025-09-07,2025-09-13,70,6
PO00173,I007,S2,2025-09-20,2025-09-26,70,6
PO00174,I007,S2,2025-10-04,2025-10-09,70,5
PO00175,I007,S2,2025-10-13,2025-10-20,70,7
PO00176,I007,S2,2025-10-28,2025-11-02,70,5
PO00177,I007,S2,2025-11-10,2025-11-17,70,7
PO00178,I007,S2,2025-11-24,2025-11-29,70,5
PO00179,I007,S2,2025-12-07,2025-12-12,70,5
PO00180,I007,S2,2025-12-19,2025-12-26,70,7
PO00181,I007,S2,2026-01-04,2026-01-10,70,6
PO00182,I007,S2,2026-01-15,2026-01-19,70,4
PO00183,I007,S2,2026-01-25,2026-01-31,70,6
PO00184,I007,S2,2026-02-07,2026-02-12,70,5
PO00185,I007,S2,2026-02-22,2026-03-01,70,7
PO00186,I007,S2,2026-03-10,2026-03-17,70,7
PO00187,I007,S2,2026-03-24,2026-03-27,70,3
PO00188,I007,S2,2026-04-06,2026-04-13,70,7
PO00189,I007,S2,2026-04-23,2026-04-29,70,6
PO00190,I007,S2,2026-05-07,2026-05-11,70,4
PO00191,I007,S2,2026-05-19,2026-05-26,70,7
PO00192,I007,S2,2026-06-04,2026-06-08,70,4
PO00193,I007,S2,2026-06-16,2026-06-23,70,7
PO00194,I007,S2,2026-06-28,2026-07-03,70,5
PO00195,I007,S2,2026-07-10,2026-07-14,70,4
PO00196,I007,S2,2026-07-23,2026-08-01,70,9
PO00197,I007,S2,2026-08-09,2026-08-13,70,4
PO00198,I007,S2,2026-08-22,2026-08-27,70,5
PO00199,I008,S3,2025-09-08,2025-09-15,168,7
PO00200,I008,S3,2025-09-24,2025-10-01,168,7
PO00201,I008,S3,2025-10-06,2025-10-15,168,9
PO00202,I008,S3,2025-10-19,2025-10-27,168,8
PO00203,I008,S3,2025-11-05,2025-11-15,168,10
PO00204,I008,S3,2025-11-22,2025-12-01,168,9
PO00205,I008,S3,2025-12-07,2025-12-12,168,5
PO00206,I008,S3,2025-12-19,2025-12-28,168,9
PO00207,I008,S3,2026-01-03,2026-01-11,168,8
PO00208,I008,S3,2026-01-18,2026-01-25,168,7
PO00209,I008,S3,2026-02-01,2026-02-13,168,12
PO00210,I008,S3,2026-02-22,2026-03-03,168,9
PO00211,I008,S3,2026-03-09,2026-03-19,168,10
PO00212,I008,S3,2026-03-25,2026-04-04,168,10
PO00213,I008,S3,2026-04-10,2026-04-17,168,7
PO00214,I008,S3,2026-04-24,2026-05-03,168,9
PO00215,I008,S3,2026-05-11,2026-05-20,168,9
PO00216,I008,S3,2026-05-26,2026-06-02,168,7
PO00217,I008,S3,2026-06-08,2026-06-14,168,6
PO00218,I008,S3,2026-06-20,2026-06-28,168,8
PO00219,I008,S3,2026-07-04,2026-07-13,168,9
PO00220,I008,S3,2026-07-19,2026-07-27,168,8
PO00221,I008,S3,2026-08-04,2026-08-12,168,8
PO00222,I008,S3,2026-08-19,2026-08-27,168,8
PO00223,I009,S3,2025-09-08,2025-09-15,112,7
PO00224,I009,S3,2025-09-22,2025-10-03,112,11
PO00225,I009,S3,2025-10-09,2025-10-18,112,9
PO00226,I009,S3,2025-10-21,2025-10-28,112,7
PO00227,I009,S3,2025-11-03,2025-11-07,112,4
PO00228,I009,S3,2025-11-18,2025-11-26,112,8
PO00229,I009,S3,2025-12-04,2025-12-11,112,7
PO00230,I009,S3,2025-12-16,2025-12-23,112,7
PO00231,I009,S3,2025-12-30,2026-01-09,112,10
PO00232,I009,S3,2026-01-17,2026-01-25,112,8
PO00233,I009,S3,2026-02-01,2026-02-06,112,5
PO00234,I009,S3,2026-02-15,2026-02-24,112,9
PO00235,I009,S3,2026-03-01,2026-03-06,112,5
PO00236,I009,S3,2026-03-11,2026-03-20,112,9
PO00237,I009,S3,2026-03-25,2026-04-01,112,7
PO00238,I009,S3,2026-04-08,2026-04-16,112,8
PO00239,I009,S3,2026-04-22,2026-04-30,112,8
PO00240,I009,S3,2026-05-07,2026-05-15,112,8
PO00241,I009,S3,2026-05-20,2026-05-28,112,8
PO00242,I009,S3,2026-06-03,2026-06-11,112,8
PO00243,I009,S3,2026-06-18,2026-06-30,112,12
PO00244,I009,S3,2026-07-08,2026-07-16,112,8
PO00245,I009,S3,2026-07-21,2026-07-29,112,8
PO00246,I009,S3,2026-08-04,2026-08-11,112,7
PO00247,I009,S3,2026-08-16,2026-08-25,112,9
PO00248,I009,S3,2026-08-29,2026-09-04,112,6
PO00249,I010,S2,2025-09-07,2025-09-14,56,7
PO00250,I010,S2,2025-09-20,2025-09-24,56,4
PO00251,I010,S2,2025-10-01,2025-10-06,56,5
PO00252,I010,S2,2025-10-12,2025-10-16,56,4
PO00253,I010,S2,2025-10-21,2025-10-28,56,7
PO00254,I010,S2,2025-11-08,2025-11-13,56,5
PO00255,I010,S2,2025-11-20,2025-11-27,56,7
PO00256,I010,S2,2025-12-06,2025-12-11,56,5
PO00257,I010,S2,2025-12-21,2025-12-28,56,7
PO00258,I010,S2,2026-01-04,2026-01-11,56,7
PO00259,I010,S2,2026-01-18,2026-01-24,56,6
PO00260,I010,S2,2026-02-02,2026-02-08,56,6
PO00261,I010,S2,2026-02-15,2026-02-21,56,6
PO00262,I010,S2,2026-03-01,2026-03-06,56,5
PO00263,I010,S2,2026-03-14,2026-03-19,56,5
PO00264,I010,S2,2026-03-29,2026-04-05,56,7
PO00265,I010,S2,2026-04-12,2026-04-18,56,6
PO00266,I010,S2,2026-04-26,2026-05-03,56,7
PO00267,I010,S2,2026-05-13,2026-05-21,56,8
PO00268,I010,S2,2026-05-28,2026-06-02,56,5
PO00269,I010,S2,2026-06-11,2026-06-16,56,5
PO00270,I010,S2,2026-06-22,2026-06-28,56,6
PO00271,I010,S2,2026-07-06,2026-07-12,56,6
PO00272,I010,S2,2026-07-21,2026-07-28,56,7
PO00273,I010,S2,2026-08-08,2026-08-14,56,6
PO00274,I010,S2,2026-08-23,2026-08-31,56,8
PO00275,I011,S2,2025-09-06,2025-09-13,42,7
PO00276,I011,S2,2025-09-20,2025-09-27,42,7
PO00277,I011,S2,2025-10-03,2025-10-09,42,6
PO00278,I011,S2,2025-10-16,2025-10-23,42,7
PO00279,I011,S2,2025-11-01,2025-11-07,42,6
PO00280,I011,S2,2025-11-13,2025-11-18,42,5
PO00281,I011,S2,2025-11-26,2025-12-03,42,7
PO00282,I011,S2,2025-12-10,2025-12-16,42,6
PO00283,I011,S2,2025-12-24,2025-12-30,42,6
PO00284,I011,S2,2026-01-09,2026-01-16,42,7
PO00285,I011,S2,2026-01-26,2026-02-01,42,6
PO00286,I011,S2,2026-02-08,2026-02-14,42,6
PO00287,I011,S2,2026-02-21,2026-02-26,42,5
PO00288,I011,S2,2026-03-05,2026-03-12,42,7
PO00289,I011,S2,2026-03-19,2026-03-25,42,6
PO00290,I011,S2,2026-03-30,2026-04-05,42,6
PO00291,I011,S2,2026-04-14,2026-04-20,42,6
PO00292,I011,S2,2026-04-29,2026-05-05,42,6
PO00293,I011,S2,2026-05-13,2026-05-20,42,7
PO00294,I011,S2,2026-06-01,2026-06-07,42,6
PO00295,I011,S2,2026-06-17,2026-06-25,42,8
PO00296,I011,S2,2026-07-03,2026-07-09,42,6
PO00297,I011,S2,2026-07-20,2026-07-26,42,6
PO00298,I011,S2,2026-08-01,2026-08-07,42,6
PO00299,I011,S2,2026-08-17,2026-08-26,42,9
PO00300,I012,S2,2025-09-07,2025-09-13,70,6
PO00301,I012,S2,2025-09-20,2025-09-26,70,6
PO00302,I012,S2,2025-10-02,2025-10-08,70,6
PO00303,I012,S2,2025-10-15,2025-10-21,70,6
PO00304,I012,S2,2025-10-29,2025-11-04,70,6
PO00305,I012,S2,2025-11-12,2025-11-19,70,7
PO00306,I012,S2,2025-11-27,2025-12-03,70,6
PO00307,I012,S2,2025-12-11,2025-12-17,70,6
PO00308,I012,S2,2025-12-23,2025-12-29,70,6
PO00309,I012,S2,2026-01-05,2026-01-10,70,5
PO00310,I012,S2,2026-01-19,2026-01-25,70,6
PO00311,I012,S2,2026-02-03,2026-02-09,70,6
PO00312,I012,S2,2026-02-17,2026-02-24,70,7
PO00313,I012,S2,2026-03-01,2026-03-06,70,5
PO00314,I012,S2,2026-03-13,2026-03-21,70,8
PO00315,I012,S2,2026-03-27,2026-04-02,70,6
PO00316,I012,S2,2026-04-09,2026-04-15,70,6
PO00317,I012,S2,2026-04-22,2026-04-27,70,5
PO00318,I012,S2,2026-05-08,2026-05-15,70,7
PO00319,I012,S2,2026-05-23,2026-05-28,70,5
PO00320,I012,S2,2026-06-04,2026-06-10,70,6
PO00321,I012,S2,2026-06-16,2026-06-22,70,6
PO00322,I012,S2,2026-06-30,2026-07-06,70,6
PO00323,I012,S2,2026-07-15,2026-07-19,70,4
PO00324,I012,S2,2026-07-28,2026-08-06,70,9
PO00325,I012,S2,2026-08-15,2026-08-20,70,5
PO00326,I012,S2,2026-08-24,2026-08-30,70,6
PO00327,I013,S3,2025-09-09,2025-09-16,49,7
PO00328,I013,S3,2025-09-21,2025-10-01,49,10
PO00329,I013,S3,2025-10-07,2025-10-14,49,7
PO00330,I013,S3,2025-10-19,2025-10-25,49,6
PO00331,I013,S3,2025-11-03,2025-11-12,49,9
PO00332,I013,S3,2025-11-21,2025-11-26,49,5
PO00333,I013,S3,2025-12-02,2025-12-09,49,7
PO00334,I013,S3,2025-12-16,2025-12-25,49,9
PO00335,I013,S3,2025-12-30,2026-01-10,49,11
PO00336,I013,S3,2026-01-18,2026-01-24,49,6
PO00337,I013,S3,2026-02-01,2026-02-08,49,7
PO00338,I013,S3,2026-02-16,2026-02-25,49,9
PO00339,I013,S3,2026-03-02,2026-03-06,49,4
PO00340,I013,S3,2026-03-13,2026-03-24,49,11
PO00341,I013,S3,2026-04-02,2026-04-08,49,6
PO00342,I013,S3,2026-04-18,2026-04-25,49,7
PO00343,I013,S3,2026-04-30,2026-05-09,49,9
PO00344,I013,S3,2026-05-16,2026-05-24,49,8
PO00345,I013,S3,2026-06-04,2026-06-10,49,6
PO00346,I013,S3,2026-06-14,2026-06-25,49,11
PO00347,I013,S3,2026-07-03,2026-07-06,49,3
PO00348,I013,S3,2026-07-14,2026-07-20,49,6
PO00349,I013,S3,2026-07-28,2026-08-04,49,7
PO00350,I013,S3,2026-08-15,2026-08-21,49,6
PO00351,I013,S3,2026-08-26,2026-09-05,49,10
PO00352,I014,S4,2025-09-02,2025-09-03,5,1
PO00353,I014,S4,2025-09-10,2025-09-21,5,11
PO00354,I014,S4,2025-09-30,2025-10-05,5,5
PO00355,I014,S4,2025-10-10,2025-10-11,5,1
PO00356,I014,S4,2025-10-12,2025-10-13,5,1
PO00357,I014,S4,2025-10-13,2025-10-18,5,5
PO00358,I014,S4,2025-10-19,2025-10-23,5,4
PO00359,I014,S4,2025-10-28,2025-11-04,5,7
PO00360,I014,S4,2025-11-08,2025-11-12,5,4
PO00361,I014,S4,2025-11-21,2025-11-30,5,9
PO00362,I014,S4,2025-12-04,2025-12-10,5,6
PO00363,I014,S4,2025-12-18,2025-12-23,5,5
PO00364,I014,S4,2026-01-08,2026-01-17,5,9
PO00365,I014,S4,2026-01-31,2026-02-07,5,7
PO00366,I014,S4,2026-02-15,2026-02-24,5,9
PO00367,I014,S4,2026-03-10,2026-03-20,5,10
PO00368,I014,S4,2026-04-08,2026-04-13,5,5
PO00369,I014,S4,2026-04-17,2026-04-23,5,6
PO00370,I014,S4,2026-05-02,2026-05-11,5,9
PO00371,I014,S4,2026-05-13,2026-05-14,5,1
PO00372,I014,S4,2026-06-10,2026-06-16,5,6
PO00373,I014,S4,2026-06-20,2026-06-25,5,5
PO00374,I014,S4,2026-07-04,2026-07-11,5,7
PO00375,I014,S4,2026-07-15,2026-07-18,5,3
PO00376,I014,S4,2026-07-31,2026-08-10,5,10
PO00377,I014,S4,2026-08-26,2026-08-29,5,3
PO00378,I015,S4,2025-09-08,2025-09-12,3,4
PO00379,I015,S4,2025-09-22,2025-09-26,3,4
PO00380,I015,S4,2025-10-13,2025-10-23,3,10
PO00381,I015,S4,2025-10-29,2025-10-30,3,1
PO00382,I015,S4,2025-11-12,2025-11-24,3,12
PO00383,I015,S4,2025-11-27,2025-12-08,3,11
PO00384,I015,S4,2025-12-19,2025-12-23,3,4
PO00385,I015,S4,2026-01-05,2026-01-15,3,10
PO00386,I015,S4,2026-01-16,2026-01-22,3,6
PO00387,I015,S4,2026-01-23,2026-02-04,3,12
PO00388,I015,S4,2026-02-09,2026-02-18,3,9
PO00389,I015,S4,2026-02-24,2026-03-10,3,14
PO00390,I015,S4,2026-03-19,2026-03-20,3,1
PO00391,I015,S4,2026-03-27,2026-04-03,3,7
PO00392,I015,S4,2026-04-23,2026-04-24,3,1
PO00393,I015,S4,2026-04-27,2026-05-01,3,4
PO00394,I015,S4,2026-05-12,2026-05-26,3,14
PO00395,I015,S4,2026-06-14,2026-06-22,3,8
PO00396,I015,S4,2026-07-02,2026-07-11,3,9
PO00397,I015,S4,2026-07-19,2026-07-27,3,8
PO00398,I015,S4,2026-08-07,2026-08-15,3,8
PO00399,I015,S4,2026-08-22,2026-08-26,3,4
PO00400,I016,S4,2025-10-20,2025-10-24,3,4
PO00401,I016,S4,2025-12-04,2025-12-08,3,4
PO00402,I016,S4,2026-01-08,2026-01-09,3,1
PO00403,I016,S4,2026-02-13,2026-02-19,3,6
PO00404,I016,S4,2026-04-12,2026-04-19,3,7
PO00405,I016,S4,2026-04-24,2026-04-28,3,4
PO00406,I016,S4,2026-08-21,2026-08-27,3,6
PO00407,I016,S4,2026-08-27,2026-09-04,3,8
PO00408,I017,S4,2025-09-14,2025-09-23,3,9
PO00409,I017,S4,2025-10-12,2025-10-14,3,2
PO00410,I017,S4,2025-12-27,2025-12-30,3,3
PO00411,I017,S4,2026-02-25,2026-03-06,3,9
PO00412,I017,S4,2026-03-27,2026-04-04,3,8
PO00413,I017,S4,2026-06-07,2026-06-18,3,11
PO00414,I017,S4,2026-07-01,2026-07-12,3,11
PO00415,I018,S4,2025-09-10,2025-09-24,3,14
PO00416,I018,S4,2025-10-04,2025-10-09,3,5
PO00417,I018,S4,2025-10-15,2025-10-27,3,12
PO00418,I018,S4,2025-11-04,2025-11-07,3,3
PO00419,I018,S4,2025-11-20,2025-12-04,3,14
PO00420,I018,S4,2025-12-19,2025-12-27,3,8
PO00421,I018,S4,2026-01-14,2026-01-22,3,8
PO00422,I018,S4,2026-02-07,2026-02-16,3,9
PO00423,I018,S4,2026-03-11,2026-03-12,3,1
PO00424,I018,S4,2026-03-20,2026-03-22,3,2
PO00425,I018,S4,2026-03-30,2026-04-05,3,6
PO00426,I018,S4,2026-04-11,2026-04-18,3,7
PO00427,I018,S4,2026-04-25,2026-05-08,3,13
PO00428,I018,S4,2026-05-24,2026-05-27,3,3
PO00429,I018,S4,2026-06-18,2026-06-29,3,11
PO00430,I018,S4,2026-07-04,2026-07-09,3,5
PO00431,I018,S4,2026-07-24,2026-07-29,3,5
PO00432,I018,S4,2026-08-07,2026-08-12,3,5
PO00433,I019,S5,2025-09-09,2025-09-20,12,11
PO00434,I019,S5,2025-10-01,2025-10-13,12,12
PO00435,I019,S5,2025-10-29,2025-11-08,12,10
PO00436,I019,S5,2025-11-17,2025-11-26,12,9
PO00437,I019,S5,2025-12-01,2025-12-12,12,11
PO00438,I019,S5,2025-12-20,2026-01-01,12,12
PO00439,I019,S5,2026-01-19,2026-01-28,12,9
PO00440,I019,S5,2026-02-10,2026-02-22,12,12
PO00441,I019,S5,2026-03-03,2026-03-16,12,13
PO00442,I019,S5,2026-03-22,2026-04-04,12,13
PO00443,I019,S5,2026-04-14,2026-04-26,12,12
PO00444,I019,S5,2026-05-14,2026-05-22,12,8
PO00445,I019,S5,2026-06-06,2026-06-18,12,12
PO00446,I019,S5,2026-06-28,2026-07-10,12,12
PO00447,I019,S5,2026-07-23,2026-08-02,12,10
PO00448,I019,S5,2026-08-14,2026-08-25,12,11
PO00449,I020,S5,2025-09-04,2025-09-16,13,12
PO00450,I020,S5,2025-09-17,2025-10-01,13,14
PO00451,I020,S5,2025-10-10,2025-10-21,13,11
PO00452,I020,S5,2025-11-08,2025-11-20,13,12
PO00453,I020,S5,2025-11-26,2025-12-07,13,11
PO00454,I020,S5,2025-12-17,2025-12-28,13,11
PO00455,I020,S5,2026-01-04,2026-01-17,13,13
PO00456,I020,S5,2026-01-25,2026-02-04,13,10
PO00457,I020,S5,2026-02-12,2026-02-23,13,11
PO00458,I020,S5,2026-03-01,2026-03-12,13,11
PO00459,I020,S5,2026-03-17,2026-03-26,13,9
PO00460,I020,S5,2026-04-02,2026-04-15,13,13
PO00461,I020,S5,2026-04-19,2026-05-01,13,12
PO00462,I020,S5,2026-05-08,2026-05-19,13,11
PO00463,I020,S5,2026-05-25,2026-06-05,13,11
PO00464,I020,S5,2026-06-08,2026-06-19,13,11
PO00465,I020,S5,2026-06-21,2026-07-03,13,12
PO00466,I020,S5,2026-07-04,2026-07-15,13,11
PO00467,I020,S5,2026-07-19,2026-07-29,13,10
PO00468,I020,S5,2026-08-01,2026-08-11,13,10
PO00469,I020,S5,2026-08-14,2026-08-25,13,11
PO00470,I020,S5,2026-08-27,2026-09-06,13,10
PO00471,I021,S5,2025-09-02,2025-09-13,10,11
PO00472,I021,S5,2025-09-16,2025-09-26,10,10
PO00473,I021,S5,2025-09-27,2025-10-07,10,10
PO00474,I021,S5,2025-10-13,2025-10-29,10,16
PO00475,I021,S5,2025-10-31,2025-11-14,10,14
PO00476,I021,S5,2025-11-21,2025-12-02,10,11
PO00477,I021,S5,2025-12-11,2025-12-23,10,12
PO00478,I021,S5,2025-12-27,2026-01-09,10,13
PO00479,I021,S5,2026-01-12,2026-01-23,10,11
